symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INCY,2019-06-20 00:00:00+00:00,86.57,87.125,85.6,85.6,1426812,86.57,87.125,85.6,85.6,1426812,0.0,1.0
INCY,2019-06-21 00:00:00+00:00,88.7,88.85,86.29,87.25,2261954,88.7,88.85,86.29,87.25,2261954,0.0,1.0
INCY,2019-06-24 00:00:00+00:00,86.92,89.3,86.67,88.7,1272512,86.92,89.3,86.67,88.7,1272512,0.0,1.0
INCY,2019-06-25 00:00:00+00:00,87.61,88.63,86.33,87.25,1231090,87.61,88.63,86.33,87.25,1231090,0.0,1.0
INCY,2019-06-26 00:00:00+00:00,85.63,88.28,85.22,87.54,1226218,85.63,88.28,85.22,87.54,1226218,0.0,1.0
INCY,2019-06-27 00:00:00+00:00,84.72,86.59,84.53,86.06,992426,84.72,86.59,84.53,86.06,992426,0.0,1.0
INCY,2019-06-28 00:00:00+00:00,84.96,85.28,83.37,84.59,1616376,84.96,85.28,83.37,84.59,1616376,0.0,1.0
INCY,2019-07-01 00:00:00+00:00,85.42,86.5,84.575,85.8,1042320,85.42,86.5,84.575,85.8,1042320,0.0,1.0
INCY,2019-07-02 00:00:00+00:00,85.01,86.0,83.95,86.0,947536,85.01,86.0,83.95,86.0,947536,0.0,1.0
INCY,2019-07-03 00:00:00+00:00,86.52,86.54,83.64,84.84,767742,86.52,86.54,83.64,84.84,767742,0.0,1.0
INCY,2019-07-05 00:00:00+00:00,85.28,87.06,85.0,85.61,681947,85.28,87.06,85.0,85.61,681947,0.0,1.0
INCY,2019-07-08 00:00:00+00:00,83.01,85.0,82.11,84.74,1064222,83.01,85.0,82.11,84.74,1064222,0.0,1.0
INCY,2019-07-09 00:00:00+00:00,83.82,84.15,82.35,82.48,985279,83.82,84.15,82.35,82.48,985279,0.0,1.0
INCY,2019-07-10 00:00:00+00:00,83.77,85.06,83.05,83.94,757138,83.77,85.06,83.05,83.94,757138,0.0,1.0
INCY,2019-07-11 00:00:00+00:00,81.23,83.975,80.17,83.81,1074479,81.23,83.975,80.17,83.81,1074479,0.0,1.0
INCY,2019-07-12 00:00:00+00:00,80.1,81.95,79.62,81.38,954315,80.1,81.95,79.62,81.38,954315,0.0,1.0
INCY,2019-07-15 00:00:00+00:00,81.39,81.57,79.53,79.99,1115563,81.39,81.57,79.53,79.99,1115563,0.0,1.0
INCY,2019-07-16 00:00:00+00:00,79.88,81.51,79.7,81.35,814430,79.88,81.51,79.7,81.35,814430,0.0,1.0
INCY,2019-07-17 00:00:00+00:00,80.23,80.88,79.4,79.91,904037,80.23,80.88,79.4,79.91,904037,0.0,1.0
INCY,2019-07-18 00:00:00+00:00,81.31,81.5,80.14,80.35,756211,81.31,81.5,80.14,80.35,756211,0.0,1.0
INCY,2019-07-19 00:00:00+00:00,80.54,82.26,80.23,81.81,935609,80.54,82.26,80.23,81.81,935609,0.0,1.0
INCY,2019-07-22 00:00:00+00:00,81.71,82.71,80.39,80.89,750635,81.71,82.71,80.39,80.89,750635,0.0,1.0
INCY,2019-07-23 00:00:00+00:00,78.51,81.83,78.42,81.67,1816924,78.51,81.83,78.42,81.67,1816924,0.0,1.0
INCY,2019-07-24 00:00:00+00:00,79.15,79.72,77.5976,78.54,1568358,79.15,79.72,77.5976,78.54,1568358,0.0,1.0
INCY,2019-07-25 00:00:00+00:00,78.8,79.3,77.3,78.69,732937,78.8,79.3,77.3,78.69,732937,0.0,1.0
INCY,2019-07-26 00:00:00+00:00,80.15,80.95,79.005,79.34,985808,80.15,80.95,79.005,79.34,985808,0.0,1.0
INCY,2019-07-29 00:00:00+00:00,80.26,80.46,78.15,80.09,1058450,80.26,80.46,78.15,80.09,1058450,0.0,1.0
